THD,T,Epsilon,Time
4,512,0.35,7.67637
4,512,0.35,7.67632
4,512,0.35,7.6788
4,512,0.35,7.67881
4,512,0.35,7.68105
4,512,0.35,7.67969
4,512,0.35,7.67781
4,512,0.35,7.68463
4,512,0.35,7.67989
4,512,0.35,7.67655
4,1024,0.5,10.501
4,1024,0.5,10.4988
4,1024,0.5,10.5081
4,1024,0.5,10.5007
4,1024,0.5,10.4969
4,1024,0.5,10.4996
4,1024,0.5,10.5014
4,1024,0.5,10.4989
4,1024,0.5,10.5046
4,1024,0.5,10.4997
4,1024,0.5,10.5003
4,1024,0.5,10.4969
4,1024,0.5,10.5022
4,1024,0.5,10.498
4,1024,0.5,10.4965
4,1024,0.5,10.5077
4,1024,0.5,10.5047
4,1024,0.5,10.5091
4,1024,0.5,10.5089
4,1024,0.5,10.5132
4,1024,0.5,10.511
4,1024,0.5,10.5119
4,1024,0.5,10.5073
4,1024,0.5,10.5141
4,1024,0.5,10.5005
4,1024,0.5,10.4973
4,1024,0.5,10.5075
4,1024,0.5,10.5036
4,1024,0.5,10.5025
4,1024,0.5,10.5041
4,1024,0.5,10.5028
4,1024,0.5,10.5026
4,1024,0.5,10.509
4,1024,0.5,10.5072
4,1024,0.5,10.5084
4,1024,0.5,10.5041
4,1024,0.5,10.5074
4,1024,0.5,10.5036
4,1024,0.5,10.4957
4,1024,0.5,10.5005
4,1024,0.5,10.4997
4,1024,0.5,10.4996
4,1024,0.5,10.5035
4,1024,0.5,10.5039
4,1024,0.5,10.5008
4,1024,0.5,10.5067
4,1024,0.5,10.5035
4,1024,0.5,10.4888
4,1024,0.5,10.5049
4,1024,0.5,10.4905
8,32,0.0001,0.608094
8,32,0.0001,0.607652
8,32,0.0001,0.60743
8,32,0.0001,0.607237
8,32,0.0001,0.607474
8,32,0.0001,0.606858
8,32,0.0001,0.606905
8,32,0.0001,0.607129
8,32,0.0001,0.607069
8,32,0.0001,0.606804
8,32,0.0001,0.607192
8,32,0.0001,0.606875
8,32,0.0001,0.607592
8,32,0.0001,0.60716
8,32,0.0001,0.607017
8,32,0.0001,0.607284
8,32,0.0001,0.607154
8,32,0.0001,0.607363
8,32,0.0001,0.607556
8,32,0.0001,0.606708
8,32,0.0001,0.60705
8,32,0.0001,0.606923
8,32,0.0001,0.607387
8,32,0.0001,0.607047
8,32,0.0001,0.607307
8,32,0.0001,0.607382
8,32,0.0001,0.60699
8,32,0.0001,0.607227
8,32,0.0001,0.60721
8,32,0.0001,0.607074
8,32,0.0001,0.60681
8,32,0.0001,0.606657
8,32,0.0001,0.606948
8,32,0.0001,0.607371
8,32,0.0001,0.607358
8,32,0.0001,0.607532
8,32,0.0001,0.607315
8,32,0.0001,0.607084
8,32,0.0001,0.60719
8,32,0.0001,0.60693
8,32,0.0001,0.607726
8,32,0.0001,0.607216
8,32,0.0001,0.607285
8,32,0.0001,0.607535
8,32,0.0001,0.60695
8,32,0.0001,0.606664
8,32,0.0001,0.606913
8,32,0.0001,0.607156
8,32,0.0001,0.606743
8,32,0.0001,0.606816
8,64,0.001,6.85386
8,64,0.001,6.8552
8,64,0.001,6.85569
8,64,0.001,6.85377
8,64,0.001,6.8547
8,64,0.001,6.85355
8,64,0.001,6.8538
8,64,0.001,6.85532
8,64,0.001,6.85279
8,64,0.001,6.85445
8,64,0.001,6.85385
8,64,0.001,6.85416
8,64,0.001,6.85582
8,64,0.001,6.85671
8,64,0.001,6.85567
8,64,0.001,6.86055
8,64,0.001,6.85796
8,64,0.001,6.86084
8,64,0.001,6.85637
8,64,0.001,6.85722
8,64,0.001,6.85367
8,64,0.001,6.85627
8,64,0.001,6.85979
8,64,0.001,6.85394
8,64,0.001,6.85457
8,64,0.001,6.85587
8,64,0.001,6.85599
8,64,0.001,6.85621
8,64,0.001,6.85595
8,64,0.001,6.85716
8,64,0.001,6.85774
8,64,0.001,6.85458
8,64,0.001,6.85436
8,64,0.001,6.85473
8,64,0.001,6.85433
8,64,0.001,6.8545
8,64,0.001,6.85564
8,64,0.001,6.85989
8,64,0.001,6.85459
8,64,0.001,6.8599
8,64,0.001,6.85874
8,64,0.001,6.85538
8,64,0.001,6.86063
8,64,0.001,6.85819
8,64,0.001,6.85572
8,64,0.001,6.85516
8,64,0.001,6.85745
8,64,0.001,6.85698
8,64,0.001,6.85577
8,64,0.001,6.8571
8,128,0.15,4.18221
8,128,0.15,4.17996
8,128,0.15,4.18333
8,128,0.15,4.1875
8,128,0.15,4.18343
8,128,0.15,4.18346
8,128,0.15,4.17789
8,128,0.15,4.184
8,128,0.15,4.18255
8,128,0.15,4.18499
8,128,0.15,4.17891
8,128,0.15,4.17549
8,128,0.15,4.18178
8,128,0.15,4.17995
8,128,0.15,4.18157
8,128,0.15,4.19328
8,128,0.15,4.18299
8,128,0.15,4.18536
8,128,0.15,4.18167
8,128,0.15,4.17974
8,128,0.15,4.17627
8,128,0.15,4.18055
8,128,0.15,4.17904
8,128,0.15,4.17894
8,128,0.15,4.18243
8,128,0.15,4.18079
8,128,0.15,4.18143
8,128,0.15,4.18254
8,128,0.15,4.18048
8,128,0.15,4.17974
8,128,0.15,4.17801
8,128,0.15,4.17927
8,128,0.15,4.18098
8,128,0.15,4.18294
8,128,0.15,4.1809
8,128,0.15,4.17787
8,128,0.15,4.18098
8,128,0.15,4.17872
8,128,0.15,4.17438
8,128,0.15,4.17772
8,128,0.15,4.17883
8,128,0.15,4.17903
8,128,0.15,4.17856
8,128,0.15,4.17921
8,128,0.15,4.17716
8,128,0.15,4.17893
8,128,0.15,4.17802
8,128,0.15,4.17895
8,128,0.15,4.17846
8,128,0.15,4.17826
8,256,0.2,4.94765
8,256,0.2,4.95188
8,256,0.2,4.95396
8,256,0.2,4.95327
8,256,0.2,4.94991
8,256,0.2,4.9479
8,256,0.2,4.94659
8,256,0.2,4.95247
8,256,0.2,4.94978
8,256,0.2,4.94784
8,256,0.2,4.95693
8,256,0.2,4.95516
8,256,0.2,4.94686
8,256,0.2,4.95135
8,256,0.2,4.94819
8,256,0.2,4.95173
8,256,0.2,4.95005
8,256,0.2,4.9493
8,256,0.2,4.95114
8,256,0.2,4.946
8,256,0.2,4.94137
8,256,0.2,4.93435
8,256,0.2,4.9347
8,256,0.2,4.93042
8,256,0.2,4.92794
8,256,0.2,4.93285
8,256,0.2,4.93253
8,256,0.2,4.94462
8,256,0.2,4.9472
8,256,0.2,4.9466
8,256,0.2,4.95002
8,256,0.2,4.95697
8,256,0.2,4.94711
8,256,0.2,4.94473
8,256,0.2,4.94933
8,256,0.2,4.94751
8,256,0.2,4.94159
8,256,0.2,4.93913
8,256,0.2,4.94723
8,256,0.2,4.9485
8,256,0.2,4.94425
8,256,0.2,4.94433
8,256,0.2,4.94928
8,256,0.2,4.94559
8,256,0.2,4.94328
8,256,0.2,4.95379
8,256,0.2,4.94748
8,256,0.2,4.94798
8,256,0.2,4.9466
8,256,0.2,4.94324
8,512,0.35,3.96497
8,512,0.35,3.96817
8,512,0.35,3.96405
8,512,0.35,3.96274
8,512,0.35,3.96761
8,512,0.35,3.9649
8,512,0.35,3.96779
8,512,0.35,3.96588
8,512,0.35,3.96479
8,512,0.35,3.96602
8,512,0.35,3.96712
8,512,0.35,3.96244
8,512,0.35,3.96456
8,512,0.35,3.96691
8,512,0.35,3.96474
8,512,0.35,3.96593
8,512,0.35,3.96479
8,512,0.35,3.9644
8,512,0.35,3.96477
8,512,0.35,3.96655
8,512,0.35,3.96534
8,512,0.35,3.96527
8,512,0.35,3.96532
8,512,0.35,3.96643
8,512,0.35,3.96535
8,512,0.35,3.96242
8,512,0.35,3.96708
8,512,0.35,3.96444
8,512,0.35,3.96563
8,512,0.35,3.96321
8,512,0.35,3.96415
8,512,0.35,3.96262
8,512,0.35,3.96733
8,512,0.35,3.96692
8,512,0.35,3.96448
8,512,0.35,3.96483
8,512,0.35,3.96755
8,512,0.35,3.96274
8,512,0.35,3.96371
8,512,0.35,3.96363
8,512,0.35,3.96327
8,512,0.35,3.96534
8,512,0.35,3.96484
8,512,0.35,3.96508
8,512,0.35,3.96525
8,512,0.35,3.9665
8,512,0.35,3.96275
8,512,0.35,3.96388
8,512,0.35,3.9744
8,512,0.35,3.96414
8,1024,0.5,5.38461
8,1024,0.5,5.37774
8,1024,0.5,5.37353
8,1024,0.5,5.3791
8,1024,0.5,5.38178
8,1024,0.5,5.37702
8,1024,0.5,5.38563
8,1024,0.5,5.37691
8,1024,0.5,5.38158
8,1024,0.5,5.38525
8,1024,0.5,5.38598
8,1024,0.5,5.37907
8,1024,0.5,5.38102
8,1024,0.5,5.37938
8,1024,0.5,5.37627
8,1024,0.5,5.38313
8,1024,0.5,5.37792
8,1024,0.5,5.38087
8,1024,0.5,5.38052
8,1024,0.5,5.37846
8,1024,0.5,5.38204
8,1024,0.5,5.37714
8,1024,0.5,5.38377
8,1024,0.5,5.38712
8,1024,0.5,5.38242
8,1024,0.5,5.38421
8,1024,0.5,5.37821
8,1024,0.5,5.38109
8,1024,0.5,5.38189
8,1024,0.5,5.38531
8,1024,0.5,5.38704
8,1024,0.5,5.38573
8,1024,0.5,5.38771
8,1024,0.5,5.37824
8,1024,0.5,5.38829
8,1024,0.5,5.38124
8,1024,0.5,5.38228
8,1024,0.5,5.38179
8,1024,0.5,5.39019
8,1024,0.5,5.38604
8,1024,0.5,5.39017
8,1024,0.5,5.38637
8,1024,0.5,5.38623
8,1024,0.5,5.38311
8,1024,0.5,5.38039
8,1024,0.5,5.38433
8,1024,0.5,5.38281
8,1024,0.5,5.38502
8,1024,0.5,5.38437
8,1024,0.5,5.38382
16,32,0.0001,0.607088
