THD,T,Time
8,4,0.27283
8,4,0.273329
8,4,0.272588
8,4,0.273345
8,4,0.275185
8,4,0.276903
8,4,0.275181
8,4,0.273081
8,4,0.27309
8,4,0.274432
8,4,0.275635
8,4,0.273595
8,4,0.275757
8,4,0.273501
8,4,0.285754
8,4,0.28199
8,4,0.283549
8,4,0.285391
8,4,0.272967
8,4,0.272209
8,4,0.272762
8,4,0.272582
8,4,0.273211
8,4,0.272708
8,4,0.271976
8,4,0.274657
8,4,0.272169
8,4,0.272093
8,4,0.272948
8,4,0.272818
8,5,1.02993
8,5,1.03383
8,5,1.02946
8,5,1.02734
8,5,1.03479
8,5,1.03038
8,5,1.02782
8,5,1.02246
8,5,1.02615
8,5,1.02609
8,5,1.0274
8,5,1.02598
8,5,1.03096
8,5,1.02739
8,5,1.03131
8,5,1.04477
8,5,1.03504
8,5,1.03247
8,5,1.03886
8,5,1.02751
8,5,1.02189
8,5,1.02957
8,5,1.03268
8,5,1.02567
8,5,1.02242
8,5,1.04066
8,5,1.02338
8,5,1.02466
8,5,1.03519
8,5,1.02892
8,5,1.02774
8,5,1.03358
8,5,1.03463
8,5,1.02591
8,5,1.03412
8,5,1.02083
8,5,1.02218
8,5,1.06131
8,5,1.03822
8,5,1.03554
8,5,1.03467
8,5,1.03458
8,5,1.03648
8,5,1.03609
8,5,1.04241
8,5,1.03733
8,5,1.03005
8,5,1.06109
8,5,1.03175
8,5,1.02552
8,6,3.92424
8,6,3.91751
8,6,3.90935
8,6,3.91654
8,6,3.9269
8,6,3.92833
8,6,3.93346
8,6,3.94352
8,6,4.04221
8,6,4.03231
8,6,4.04709
8,6,4.05906
8,6,3.92245
8,6,3.95477
8,6,3.9801
8,6,3.97006
8,6,3.89189
8,6,3.96306
8,6,3.92552
8,6,3.88045
8,6,3.82204
8,6,3.82828
8,6,3.82206
8,6,3.84324
8,6,3.87577
8,6,3.90768
8,6,3.90913
8,6,3.89734
8,6,3.91414
8,6,3.95869
8,6,3.91538
8,6,3.92306
8,6,3.9498
8,6,3.92017
8,6,3.90433
8,6,3.91588
8,6,3.93796
8,6,3.90497
8,6,3.89559
8,6,3.8785
8,6,3.89444
8,6,3.87546
8,6,3.92709
8,6,3.87469
8,6,3.88078
8,6,3.88904
8,6,3.89529
8,6,3.89435
8,6,3.91236
8,6,3.94267
16,1,0.0114806
16,1,0.0113283
16,1,0.0113172
16,1,0.0113578
16,1,0.0112773
16,1,0.0113804
16,1,0.0113645
16,1,0.0112286
16,1,0.0113226
16,1,0.0113889
16,1,0.0113074
16,1,0.011332
16,1,0.0113085
16,1,0.0113827
16,1,0.0112773
16,1,0.0113141
16,1,0.011248
16,1,0.0112387
16,1,0.011299
16,1,0.0112899
16,1,0.0113379
16,1,0.0112929
16,1,0.011667
16,1,0.0116124
16,1,0.0114674
16,1,0.0117118
16,1,0.0115907
16,1,0.0116512
16,1,0.0115888
16,1,0.0116481
16,1,0.0117032
16,1,0.0116506
16,1,0.0116361
16,1,0.011674
16,1,0.0117064
16,1,0.0116215
16,1,0.0116916
16,1,0.0116787
16,1,0.0116698
16,1,0.0117296
16,1,0.0117827
16,1,0.0117541
16,1,0.0119279
16,1,0.0117416
16,1,0.0116983
16,1,0.011811
16,1,0.011698
16,1,0.0117564
16,1,0.0117772
16,1,0.0117475
16,2,0.0234418
16,2,0.0232483
16,2,0.0228505
16,2,0.0227816
16,2,0.0227804
16,2,0.0232243
16,2,0.0231079
16,2,0.0229664
16,2,0.0225854
16,2,0.0227574
16,2,0.0228745
16,2,0.0225726
16,2,0.0228643
16,2,0.0228151
16,2,0.0227054
16,2,0.0227978
16,2,0.0228633
16,2,0.0227089
16,2,0.0227581
16,2,0.0228875
16,2,0.0229348
16,2,0.0226617
16,2,0.0229064
16,2,0.0228542
16,2,0.0225436
16,2,0.0228077
16,2,0.0230239
16,2,0.0226501
16,2,0.0227992
16,2,0.0226585
16,2,0.0228715
16,2,0.0227049
16,2,0.0228205
16,2,0.0227486
16,2,0.0230939
